"y","x1","x2","x3","x4","x5","x6","x7","x8","fold"
53,-0.6265,0.9533,-0.5035,-0.9511,0.7666,-0.7707,-1.4268,"C",4
70,0.1836,-1.8896,0.3937,1.2209,-0.9253,0.0972,0.3482,"A",3
28,-0.8356,2.7263,-2.1829,-1.8886,1.119,0.1322,1.0706,"D",8
45,1.5953,2.3871,0.261,0.3796,-0.328,-0.5594,-2.0381,"C",10
42,0.3295,2.6622,-0.2996,-1.8022,1.8502,0.3255,1.6937,"A",5
25,-0.8205,1.3421,0.2552,-1.7192,2.0102,-0.5165,-1.9186,"C",3
70,0.4874,-0.7779,-1.0337,-0.1139,-0.7059,0.3296,1.4719,"A",5
36,0.7383,1.6861,-0.5455,-0.5815,0.3409,0.1189,0.4814,"C",6
46,0.5758,-2.9331,1.4974,1.0514,-0.2264,0.3576,1.7475,"D",6
44,-0.3054,2.6419,-1.1142,-0.1048,-0.1551,-0.4692,-1.8582,"A",9
48,1.5118,2.9625,-2.646,-0.7418,-0.2409,0.0477,0.2999,"C",3
47,0.3898,-0.8556,-0.8164,0.069,-0.2912,-0.2314,-1.1384,"D",8
57,-0.6212,1.4858,-0.4216,0.4971,-0.887,-0.7344,-1.5461,"A",5
65,-2.2147,1.7575,0.5104,0.55,-0.6255,0.0763,0.5631,"B",5
57,1.1249,1.2352,-0.2687,0.0362,-0.252,0.8869,0.6447,"A",4
48,-0.0449,-0.145,-0.4415,-1.2739,0.883,-0.324,-1.5167,"A",7
60,-0.0162,-0.0321,0.0111,0.4842,-0.6488,-0.0999,-0.7485,"B",8
76,0.9438,-1.1517,0.3017,0.2296,0.1888,0.3446,1.6254,"A",4
74,0.8212,1.1701,0.5698,1.3221,-1.2943,0.0181,0.0874,"C",4
56,0.5939,1.9368,0.5323,-0.4825,1.0883,0.9718,0.1192,"C",7
63,0.919,-0.3917,-1.432,-1.2118,0.802,0.3686,1.7678,"B",5
48,0.7821,0.0884,-0.7366,-1.5712,1.3905,1.1607,-0.7557,"A",9
59,0.0746,0.9781,-1.2641,-0.61,0.3838,0.1745,0.8559,"D",9
89,-1.9894,-2.141,1.3877,1.8392,-1.5236,-0.567,-2.094,"A",8
65,0.6198,-0.9331,-0.3176,-0.5551,0.3304,0.2107,1.4306,"C",6
53,-0.0561,-0.5654,-1.5708,-0.3352,-0.4318,-0.4623,-2.218,"A",6
42,-0.1558,-2.4881,0.178,0.2382,-0.4773,-0.5035,-2.0395,"C",1
44,-1.4708,2.5954,0.7459,-0.1786,0.7874,-0.0947,-1.0552,"B",10
67,-0.4782,2.0303,1.0628,0.8543,-0.3797,0.467,1.8364,"B",1
50,0.4179,2.2766,-0.3256,-0.7138,0.6364,0.172,0.8863,"C",2
67,1.3587,2.6143,-0.6656,0.3655,-0.9045,0.407,2.1874,"B",7
76,-0.1028,-2.5652,1.8777,1.5579,-0.7216,0.4577,1.7686,"D",8
72,0.3877,-0.7274,0.3391,0.2742,-0.3492,-0.0859,-0.6843,"B",6
59,-0.0538,0.2272,-1.2013,-1.4063,0.8954,-1.2011,0.6115,"A",8
66,-1.3771,-2.3697,1.441,0.2569,0.5489,0.398,1.8956,"D",1
52,-0.415,1.8101,-1.0448,-0.7137,0.2257,1.0846,0.0071,"A",10
65,-0.3943,1.4379,-0.4265,-0.8868,1.0313,0.0292,-0.0648,"A",2
48,-0.0593,-2.6871,0.9695,-0.1062,0.6238,-0.6775,-1.8758,"A",10
63,1.1,-0.107,0.6422,0.4067,0.0703,-0.1838,-0.7744,"D",4
60,0.7632,2.5231,0.099,0.5874,-0.5784,-0.4673,-2.1084,"D",2
41,-0.1645,-2.7508,-0.7205,-0.8891,0.2873,-0.0208,0.0123,"B",3
52,-0.2534,-1.236,1.0139,0.9258,-0.8343,0.3381,1.776,"A",4
56,0.697,0.0051,0.179,-0.1754,0.5512,0.4332,1.6659,"D",7
63,0.5567,0.6585,0.1794,0.3425,-0.1965,0.1176,0.9344,"B",3
58,-0.6888,-1.4145,2.5154,2.086,-1.3761,-0.467,-1.8122,"B",10
64,-0.7075,-0.4614,0.9241,1.2966,-1.3424,0.4066,1.7805,"D",10
67,0.3646,-0.8006,-1.1662,-0.7805,0.5162,0.6742,1.6186,"A",1
30,0.7685,2.655,0.5594,0.0886,0.0462,1.1259,-0.5462,"A",7
46,-0.1123,-2.2577,-2.2505,-0.5058,-0.2726,-0.2468,-1.1865,"C",10
39,0.8811,-2.5798,-1.0082,-1.76,1.9464,0.237,1.1925,"A",4
35,0.3981,2.7859,-0.5418,-1.6167,1.4279,0.5968,1.5771,"B",6
48,-0.612,-0.3449,-0.5839,-0.7269,0.4207,-0.0582,-0.376,"B",5
