fold,model,accuracy,fpr,fnr
1,NeuralNetwork,0.761904776096344,0.23529411764705882,0.25
2,NeuralNetwork,0.8095238208770752,0.1111111111111111,0.6666666666666666
3,NeuralNetwork,0.761904776096344,0.058823529411764705,1.0
4,NeuralNetwork,0.8571428656578064,0.125,0.2
5,NeuralNetwork,0.7142857313156128,0.25,0.4
6,NeuralNetwork,0.75,0.21052631578947367,1.0
7,NeuralNetwork,0.75,0.15384615384615385,0.42857142857142855
8,NeuralNetwork,0.8421052694320679,0.2,0.0
9,NeuralNetwork,0.8888888955116272,0.0625,0.5
10,NeuralNetwork,0.7777777910232544,0.125,1.0
