fold,model,rmse,mae
1,NeuralNetwork,13.407054901123047,10.491920471191406
2,NeuralNetwork,8.596799850463867,6.7873711585998535
3,NeuralNetwork,10.652687072753906,8.983820915222168
4,NeuralNetwork,11.999849319458008,9.914466857910156
5,NeuralNetwork,9.882110595703125,8.181055068969727
6,NeuralNetwork,13.187973022460938,10.798589706420898
7,NeuralNetwork,11.688982963562012,8.949134826660156
8,NeuralNetwork,11.746499061584473,10.263120651245117
9,NeuralNetwork,12.276153564453125,8.515909194946289
10,NeuralNetwork,9.99550724029541,8.458279609680176
